Data/Hora da ultima atualizacao: 03/03/2022 20:27:10
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
DEB;CONCECOVIAS;ECOV22;6;1739,67280100;10438,04;4,7260;Cetip Trader;19:13:13;03/03/2022;#84139397
DEB;CONCECOVIAS;ECOV22;12;1730,80952900;20769,71;5,2332;Cetip Trader;19:13:12;03/03/2022;#84139395
DEB;COPASA;CSMGA2;20;1271,08836600;25421,77;4,9317;Cetip Trader;19:13:12;03/03/2022;#84139392
DEB;COPASA;CSMGA2;15;1271,08836600;19066,33;4,9317;Cetip Trader;19:13:12;03/03/2022;#84139389
DEB;CONCECOVIAS;ECOV22;17;1730,80952900;29423,76;5,2332;Cetip Trader;19:13:12;03/03/2022;#84139396
DEB;CONCECOVIAS;ECOV22;59;1720,14820100;101488,74;5,8521;Cetip Trader;19:13:12;03/03/2022;#84139391
DEB;CONCECOVIAS;ECOV22;12;1729,92941200;20759,15;5,2840;Cetip Trader;19:13:12;03/03/2022;#84139393
DEB;CONCECOVIAS;ECOV22;6;1730,80952900;10384,86;5,2332;Cetip Trader;19:13:12;03/03/2022;#84139394
DEB;BELOMONTE;BLMN12;17;1304,04050700;22168,69;6,5675;Cetip Trader;19:13:12;03/03/2022;#84139390
DEB;XINGUPART;NASX13;86;1282,58480200;110302,29;5,9877;Cetip Trader;19:13:11;03/03/2022;#84139388
DEB;ARTERIS;ARTR35;78;1259,15140400;98213,81;6,5113;Cetip Trader;19:13:11;03/03/2022;#84139384
DEB;COPASA;CSMGA2;15;1259,04471200;18885,67;5,4357;Cetip Trader;19:13:11;03/03/2022;#84139385
DEB;COPASA;CSMGA2;8;1260,23969900;10081,92;5,3851;Cetip Trader;19:13:11;03/03/2022;#84139386
DEB;LIGHT;LIGHA5;15;1280,20573800;19203,09;5,8040;Cetip Trader;19:13:11;03/03/2022;#84139387
DEB;ECHOENERGIAPART;ECHP11;25;1238,12517200;30953,13;5,8301;Cetip Trader;19:13:11;03/03/2022;#84139380
DEB;ECHOENERGIAPART;ECHP11;8;1238,12517200;9905,00;5,8301;Cetip Trader;19:13:11;03/03/2022;#84139381
DEB;ECHOENERGIAPART;ECHP11;2;1243,66432400;2487,33;5,7297;Cetip Trader;19:13:11;03/03/2022;#84139383
DEB;COPASA;CSMGA2;3;1259,04471200;3777,13;5,4357;Cetip Trader;19:13:11;03/03/2022;#84139382
DEB;ROTABANDEIRAS;CBAN12;13;1219,91285300;15858,87;6,0429;Cetip Trader;19:13:11;03/03/2022;#84139378
CRI;TRUESEC;20I0135149;16;1228,82757800;19661,24;,0000;Cetip Trader;19:13:11;03/03/2022;#84139379
DEB;ROTABANDEIRAS;CBAN12;1;1211,57315600;1211,57;6,1431;Cetip Trader;19:13:10;03/03/2022;#84139373
DEB;ENERGISAMS;ESULA1;81;1218,72974500;98717,11;6,0220;Cetip Trader;19:13:10;03/03/2022;#84139376
DEB;ROTABANDEIRAS;CBAN12;100;1219,91285300;121991,29;6,0429;Cetip Trader;19:13:10;03/03/2022;#84139377
CRI;TRUESEC;19I0341801;16;1215,99515100;19455,92;,0000;Cetip Trader;19:13:10;03/03/2022;#84139374
DEB;USINATERMPAMPASUL;UTPS21;30;1215,98760600;36479,63;7,1236;Cetip Trader;19:13:10;03/03/2022;#84139375
DEB;METRORIO;MTRJ19;25;1195,08856400;29877,21;7,0473;Cetip Trader;19:13:09;03/03/2022;#84139367
CRI;TRUESEC;19I0341801;3;1196,50398000;3589,51;,0000;Cetip Trader;19:13:09;03/03/2022;#84139371
DEB;METRORIO;MTRJ19;16;1195,08856400;19121,42;7,0473;Cetip Trader;19:13:09;03/03/2022;#84139366
DEB;LIGHT;LIGHA9;93;1194,45281900;111084,11;6,0083;Cetip Trader;19:13:09;03/03/2022;#84139365
DEB;METRORIO;MTRJ19;10;1195,08856400;11950,89;7,0473;Cetip Trader;19:13:09;03/03/2022;#84139368
DEB;METRORIO;MTRJ19;8;1195,08856400;9560,71;7,0473;Cetip Trader;19:13:09;03/03/2022;#84139369
CRI;BARISEC;20E0031084;14;1202,23017300;16831,22;,0000;Cetip Trader;19:13:09;03/03/2022;#84139370
DEB;METRORIO;MTRJ19;25;1195,08856400;29877,21;7,0473;Cetip Trader;19:13:09;03/03/2022;#84139372
CRI;BARISEC;20E0031084;14;1188,84999000;16643,90;,0000;Cetip Trader;19:13:08;03/03/2022;#84139358
DEB;METRORIO;MTRJ19;16;1183,18101800;18930,90;7,2480;Cetip Trader;19:13:08;03/03/2022;#84139357
CRI;TRUESEC;20I0135149;18;1182,79628500;21290,33;,0000;Cetip Trader;19:13:08;03/03/2022;#84139356
DEB;ECHOENERGIAPART;ECHP11;38;1190,87682200;45253,32;6,7133;Cetip Trader;19:13:08;03/03/2022;#84139363
CRI;VIRGOSEC;20F0719220;15;1190,96500000;17864,48;,0000;Cetip Trader;19:13:08;03/03/2022;#84139362
CRI;TRUESEC;19I0341801;13;1190,10682100;15471,39;,0000;Cetip Trader;19:13:08;03/03/2022;#84139361
DEB;METRORIO;MTRJ19;1;1183,18101800;1183,18;7,2480;Cetip Trader;19:13:08;03/03/2022;#84139360
DEB;LIGHT;LIGHA9;124;1194,45281900;148112,15;6,0083;Cetip Trader;19:13:08;03/03/2022;#84139364
DEB;AUTOPISTAREGIS;APRB18;3;1155,26975800;3465,81;6,0493;Cetip Trader;19:13:08;03/03/2022;#84139352
CRI;TRUESEC;20I0135149;26;1182,79628500;30752,70;,0000;Cetip Trader;19:13:08;03/03/2022;#84139355
DEB;METRORIO;MTRJ19;17;1177,28951300;20013,92;7,3481;Cetip Trader;19:13:08;03/03/2022;#84139354
CRI;VIRGOSEC;20F0719220;15;1170,37500000;17555,63;,0000;Cetip Trader;19:13:08;03/03/2022;#84139353
CRI;TRUESEC;20I0135149;28;1189,20014300;33297,60;,0000;Cetip Trader;19:13:08;03/03/2022;#84139359
DEB;ELETROPAULO;ELPLB4;65;1145,59912300;74463,94;5,2792;Cetip Trader;19:13:07;03/03/2022;#84139347
DEB;ANEMUSWIND;ANEM11;34;1141,15194400;38799,17;6,9344;Cetip Trader;19:13:07;03/03/2022;#84139346
DEB;GASMIG;CGMG18;150;1145,74391100;171861,59;5,4743;Cetip Trader;19:13:07;03/03/2022;#84139348
DEB;AUTOPISTAREGIS;APRB18;22;1155,26975800;25415,93;6,0493;Cetip Trader;19:13:07;03/03/2022;#84139351
DEB;METRORIO;MTRJ19;168;1154,13042100;193893,91;7,7496;Cetip Trader;19:13:07;03/03/2022;#84139350
DEB;GASMIG;CGMG18;13;1145,74391100;14894,67;5,4743;Cetip Trader;19:13:07;03/03/2022;#84139349
DEB;ANEMUSWIND;ANEM11;6;1141,15194400;6846,91;6,9344;Cetip Trader;19:13:06;03/03/2022;#84139345
DEB;ANEMUSWIND;ANEM11;2;1141,15194400;2282,30;6,9344;Cetip Trader;19:13:06;03/03/2022;#84139343
DEB;ANEMUSWIND;ANEM11;4;1141,15194400;4564,61;6,9344;Cetip Trader;19:13:06;03/03/2022;#84139344
DEB;GASMIG;CGMG18;17;1140,07703800;19381,31;5,5745;Cetip Trader;19:13:05;03/03/2022;#84139342
DEB;ROTABANDEIRAS;CBAN12;25;1139,09958800;28477,49;7,0554;Cetip Trader;19:13:05;03/03/2022;#84139340
DEB;ROTABANDEIRAS;CBAN12;15;1139,09958800;17086,49;7,0554;Cetip Trader;19:13:05;03/03/2022;#84139341
DEB;ROTABANDEIRAS;CBAN12;17;1139,09958800;19364,69;7,0554;Cetip Trader;19:13:05;03/03/2022;#84139339
DEB;ANEMUSWIND;ANEM11;3;1133,35640400;3400,07;7,0346;Cetip Trader;19:13:04;03/03/2022;#84139335
DEB;ANEMUSWIND;ANEM11;74;1133,35640400;83868,37;7,0346;Cetip Trader;19:13:04;03/03/2022;#84139338
DEB;ANEMUSWIND;ANEM11;66;1133,35640400;74801,52;7,0346;Cetip Trader;19:13:04;03/03/2022;#84139337
DEB;ANEMUSWIND;ANEM11;44;1133,35640400;49867,68;7,0346;Cetip Trader;19:13:04;03/03/2022;#84139336
DEB;ANEMUSWIND;ANEM11;4;1133,35640400;4533,43;7,0346;Cetip Trader;19:13:03;03/03/2022;#84139334
DEB;ANEMUSWIND;ANEM11;44;1133,35640400;49867,68;7,0346;Cetip Trader;19:13:03;03/03/2022;#84139333
DEB;ANEMUSWIND;ANEM11;11;1133,35640400;12466,92;7,0346;Cetip Trader;19:13:03;03/03/2022;#84139332
