Data/Hora da ultima atualizacao: 21/02/2022 20:29:21
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
LF;CNHCAPITALBM;LF002100FB7;1;54713,39050000;54713,39;;NoMe;19:31:39;21/02/2022;#2022022113003843
DEB;LOCALIZAFLEET;TFLE18;4833;997,02269700;4818610,69;1,2976;Cetip Trader;19:07:59;21/02/2022;#83850228
DEB;VENTOSSUL;VSUL11;832;655,23739400;545157,51;1,5293;Cetip Trader;19:07:59;21/02/2022;#83850229
DEB;VENTOSSUL;VSUL11;832;655,23739400;545157,51;1,5293;Cetip Trader;19:07:59;21/02/2022;#83850230
DEB;UNIDASSA;UNDAC2;539;1010,25082900;544525,20;117,0650;Cetip Trader;19:07:59;21/02/2022;#83850227
DEB;PORTOSEG;PSSA11;5072;1008,21154100;5113648,94;1,8001;Cetip Trader;19:07:58;21/02/2022;#83850221
DEB;SBFLTDA;SBFC11;725;1034,80083400;750230,60;2,0929;Cetip Trader;19:07:58;21/02/2022;#83850220
DEB;MRVEP;MRVEA8;606;1065,64728700;645782,26;1,8405;Cetip Trader;19:07:58;21/02/2022;#83850219
DEB;PORTOSEG;PSSA11;5072;1008,21154100;5113648,94;1,8001;Cetip Trader;19:07:58;21/02/2022;#83850218
DEB;MRVEP;MRVEA8;606;1065,64728700;645782,26;1,8405;Cetip Trader;19:07:58;21/02/2022;#83850217
DEB;SABESP;SBSPB7;556;1034,50171100;575182,95;1,3068;Cetip Trader;19:07:58;21/02/2022;#83850222
DEB;SBFLTDA;SBFC11;725;1034,80083400;750230,60;2,0929;Cetip Trader;19:07:58;21/02/2022;#83850223
DEB;LOCAMERICA;LCAMA9;605;1025,55595900;620461,36;1,9012;Cetip Trader;19:07:58;21/02/2022;#83850216
DEB;UNIDASSA;UNDAC2;539;1010,25082900;544525,20;117,0650;Cetip Trader;19:07:58;21/02/2022;#83850225
DEB;LOCALIZAFLEET;TFLE18;4833;997,02269700;4818610,69;1,2976;Cetip Trader;19:07:58;21/02/2022;#83850226
DEB;SABESP;SBSPB7;556;1034,50171100;575182,95;1,3068;Cetip Trader;19:07:58;21/02/2022;#83850224
DEB;COMGAS;GASP18;1;1028731,81713200;1028731,82;,0000;Cetip Trader;19:07:57;21/02/2022;#83850212
DEB;CONCPAULISTA;IVIA17;631;1022,01234000;644889,79;1,6381;Cetip Trader;19:07:57;21/02/2022;#83850211
DEB;COMGAS;GASP18;1;1028731,81713200;1028731,82;,0000;Cetip Trader;19:07:57;21/02/2022;#83850210
DEB;RUMOMALHA;GASC12;556;1024,90995500;569849,93;1,6804;Cetip Trader;19:07:57;21/02/2022;#83850209
DEB;IOCHPEMAXION;IOCH10;518;1012,80752700;524634,30;2,1114;Cetip Trader;19:07:57;21/02/2022;#83850208
DEB;RUMOMALHA;GASC12;556;1024,90995500;569849,93;1,6804;Cetip Trader;19:07:57;21/02/2022;#83850207
DEB;CIABRASDISTRIBUICAO;CBRDA8;531;1026,78598100;545223,36;1,8019;Cetip Trader;19:07:57;21/02/2022;#83850206
DEB;CAMIL;CAML10;552;1040,00738700;574084,08;1,2327;Cetip Trader;19:07:57;21/02/2022;#83850205
DEB;CIABRASDISTRIBUICAO;CBRDA8;531;1026,78598100;545223,36;1,8019;Cetip Trader;19:07:57;21/02/2022;#83850204
DEB;AUTOPISTAREGIS;APRB28;552;986,06473100;544307,73;1,4999;Cetip Trader;19:07:57;21/02/2022;#83850203
DEB;CAMIL;CAML10;552;1040,00738700;574084,08;1,2327;Cetip Trader;19:07:57;21/02/2022;#83850202
DEB;ALGARTELE;ALGA18;66;9917,27619400;654540,23;1,1618;Cetip Trader;19:07:57;21/02/2022;#83850201
DEB;CONCPAULISTA;IVIA17;631;1022,01234000;644889,79;1,6381;Cetip Trader;19:07:57;21/02/2022;#83850215
DEB;LOCAMERICA;LCAMA9;605;1025,55595900;620461,36;1,9012;Cetip Trader;19:07:57;21/02/2022;#83850214
DEB;IOCHPEMAXION;IOCH10;518;1012,80752700;524634,30;2,1114;Cetip Trader;19:07:57;21/02/2022;#83850213
DEB;AUTOPISTAREGIS;APRB28;552;986,06473100;544307,73;1,4999;Cetip Trader;19:07:56;21/02/2022;#83850200
DEB;ALGARTELE;ALGA18;66;9917,27619400;654540,23;1,1618;Cetip Trader;19:07:56;21/02/2022;#83850199
DEB;AEGEA;AEGP15;498;1053,43017800;524608,23;2,6446;Cetip Trader;19:07:56;21/02/2022;#83850198
CFF;3272425232470FDO;3247021SN3;324093;1,00209300;324771,33;,0000;Cetip Trader;19:07:56;21/02/2022;#83850197
CFF;3594611335102FDO;3510221SN1;4807;1002,69416500;4819950,85;,0000;Cetip Trader;19:07:56;21/02/2022;#83850191
CFF;3594611335102FDO;3510221SN1;4807;1002,69416500;4819950,85;,0000;Cetip Trader;19:07:56;21/02/2022;#83850195
DEB;AEGEA;AEGP15;498;1053,43017800;524608,23;2,6446;Cetip Trader;19:07:56;21/02/2022;#83850194
CFF;3272425232470FDO;3247021SN3;324093;1,00209300;324771,33;,0000;Cetip Trader;19:07:56;21/02/2022;#83850193
CFF;0841754405791FDO;0579121MZG;124703;1,00231500;124991,69;,0000;Cetip Trader;19:07:56;21/02/2022;#83850192
CFF;0841754405791FDO;0579121MZG;124703;1,00231500;124991,69;,0000;Cetip Trader;19:07:56;21/02/2022;#83850196
DEB;CONCECOVIAS;ECOV22;58;1726,33192400;100127,25;5,1200;Cetip Trader;19:05:38;21/02/2022;#83850190
DEB;COPELGERACAO;CPGT27;29;1019,54479700;29566,80;6,0500;Cetip Trader;19:04:38;21/02/2022;#83850182
CRA;VERTSEC;CRA01800590;10;1011,95949200;10119,59;,0000;Cetip Trader;19:04:38;21/02/2022;#83850183
CRI;BARISEC;20F0689770;83;1195,47633900;99224,54;,0000;Cetip Trader;19:04:38;21/02/2022;#83850172
CRA;VIRGOSEC;CRA021002SU;28;1058,42535200;29635,91;,0000;Cetip Trader;19:04:38;21/02/2022;#83850173
DEB;COPELGERACAO;CPGT27;1;1022,81940900;1022,82;6,0001;Cetip Trader;19:04:38;21/02/2022;#83850174
CRI;RBSECURITIZACAO;12J0037879;108;1016,81180000;109815,67;,0000;Cetip Trader;19:04:38;21/02/2022;#83850175
CRA;OCTANTESEC;CRA019007Q9;10;1096,68604900;10966,86;,0000;Cetip Trader;19:04:38;21/02/2022;#83850176
CRA;VERTSEC;CRA01800590;4;1011,95949200;4047,84;,0000;Cetip Trader;19:04:38;21/02/2022;#83850177
CRA;VIRGOSEC;CRA020001E5;2;1149,30271300;2298,61;,0000;Cetip Trader;19:04:38;21/02/2022;#83850178
CRI;REITSEC;19E0959096;17;1374,73718400;23370,53;,0000;Cetip Trader;19:04:38;21/02/2022;#83850179
CRI;HABITASECSA;19L0906443;1;867,51243000;867,51;,0000;Cetip Trader;19:04:38;21/02/2022;#83850180
CRA;VIRGOSEC;CRA021002SU;1;1058,42535200;1058,43;,0000;Cetip Trader;19:04:38;21/02/2022;#83850181
DEB;UHESIMAO;UHSM12;10;1039,96548300;10399,65;6,0000;Cetip Trader;19:04:38;21/02/2022;#83850188
CRI;BARISEC;20F0689770;170;1195,47633900;203230,98;,0000;Cetip Trader;19:04:38;21/02/2022;#83850187
CRA;VIRGOSEC;CRA020001E5;9;1149,64251900;10346,78;,0000;Cetip Trader;19:04:38;21/02/2022;#83850186
CRI;BARISEC;20F0689770;87;1195,47633900;104006,44;,0000;Cetip Trader;19:04:38;21/02/2022;#83850185
CRA;OCTANTESEC;CRA019007Q9;2;1096,68604900;2193,37;,0000;Cetip Trader;19:04:38;21/02/2022;#83850184
CRA;VIRGOSEC;CRA020001E5;43;1140,54870600;49043,59;,0000;Cetip Trader;19:04:37;21/02/2022;#83850163
DEB;RODOVIAMG;CRMG15;12;1036,20019600;12434,40;6,9999;Cetip Trader;19:04:37;21/02/2022;#83850161
CRA;VIRGOSEC;CRA020001E5;1;1149,30271300;1149,30;,0000;Cetip Trader;19:04:37;21/02/2022;#83850160
DEB;COPELGERACAO;CPGT27;4;1022,81940900;4091,28;6,0001;Cetip Trader;19:04:37;21/02/2022;#83850159
DEB;AGROVALE;AGVF12;19;1067,42181800;20281,01;6,3000;Cetip Trader;19:04:37;21/02/2022;#83850158
CRA;VIRGOSEC;CRA020001E5;174;1149,42178800;199999,39;,0000;Cetip Trader;19:04:37;21/02/2022;#83850157
CRA;VIRGOSEC;CRA021002SU;5;1058,42535200;5292,13;,0000;Cetip Trader;19:04:37;21/02/2022;#83850156
DEB;ANEMUSWIND;ANEM11;4;1130,55490600;4522,22;7,0000;Cetip Trader;19:04:37;21/02/2022;#83850155
DEB;COPELGERACAO;CPGT27;5;1022,81940900;5114,10;6,0001;Cetip Trader;19:04:37;21/02/2022;#83850166
DEB;SIMPAR;JSMLB5;1;1104,10649600;1104,11;7,4999;Cetip Trader;19:04:37;21/02/2022;#83850168
DEB;METRORIO;MTRJ19;5;1180,23013200;5901,15;7,2001;Cetip Trader;19:04:37;21/02/2022;#83850170
CRA;VIRGOSEC;CRA020001E5;7;1149,30271300;8045,12;,0000;Cetip Trader;19:04:37;21/02/2022;#83850171
CRA;VIRGOSEC;CRA021002SU;1;1058,42535200;1058,43;,0000;Cetip Trader;19:04:37;21/02/2022;#83850169
CRA;VIRGOSEC;CRA020001E5;87;1149,30271300;99989,34;,0000;Cetip Trader;19:04:37;21/02/2022;#83850167
CRA;VIRGOSEC;CRA021002SU;2;1058,42535200;2116,85;,0000;Cetip Trader;19:04:37;21/02/2022;#83850165
CRI;REITSEC;19E0959096;17;1390,17028400;23632,89;,0000;Cetip Trader;19:04:37;21/02/2022;#83850162
CRI;BARISEC;20G0703083;1;1084,48412100;1084,48;,0000;Cetip Trader;19:04:37;21/02/2022;#83850164
CRI;RBSECURITIZACAO;12J0037879;15;1030,26667600;15454,00;,0000;Cetip Trader;19:04:36;21/02/2022;#83850140
CRA;VIRGOSEC;CRA020001E5;6;1149,30271300;6895,82;,0000;Cetip Trader;19:04:36;21/02/2022;#83850141
DEB;LIGHT;LIGHA9;48;1227,86633300;58937,58;4,8999;Cetip Trader;19:04:36;21/02/2022;#83850150
CRA;VIRGOSEC;CRA020001E5;217;1149,30271300;249398,69;,0000;Cetip Trader;19:04:36;21/02/2022;#83850151
CRA;VIRGOSEC;CRA021002SU;1;1058,42535200;1058,43;,0000;Cetip Trader;19:04:36;21/02/2022;#83850152
DEB;RODOVIAMG;CRMG15;3;1036,20019600;3108,60;6,9999;Cetip Trader;19:04:36;21/02/2022;#83850153
CRA;VIRGOSEC;CRA020001E5;131;1149,30271300;150558,66;,0000;Cetip Trader;19:04:36;21/02/2022;#83850154
CRI;RBSECURITIZACAO;18L1085826;28;1225,65207800;34318,26;,0000;Cetip Trader;19:04:36;21/02/2022;#83850138
DEB;COPELGERACAO;CPGT27;5;1022,81940900;5114,10;6,0001;Cetip Trader;19:04:36;21/02/2022;#83850142
CRI;BARISEC;20G0703083;1;1084,48412100;1084,48;,0000;Cetip Trader;19:04:36;21/02/2022;#83850143
CRA;VIRGOSEC;CRA020001E5;132;1140,54870600;150552,43;,0000;Cetip Trader;19:04:36;21/02/2022;#83850144
DEB;ARTERIS;ARTR35;2;1290,31072300;2580,62;5,0000;Cetip Trader;19:04:36;21/02/2022;#83850145
CRA;VERTSEC;CRA01800590;2;1011,95949200;2023,92;,0000;Cetip Trader;19:04:36;21/02/2022;#83850146
CRA;VIRGOSEC;CRA020001E5;176;1140,54870600;200736,57;,0000;Cetip Trader;19:04:36;21/02/2022;#83850147
DEB;SIMPAR;JSMLB5;1;1104,10649600;1104,11;7,4999;Cetip Trader;19:04:36;21/02/2022;#83850139
CRA;VIRGOSEC;CRA021002SU;152;1058,42535200;160880,65;,0000;Cetip Trader;19:04:36;21/02/2022;#83850149
DEB;RODOVIAMG;CRMG15;5;1036,20019600;5181,00;6,9999;Cetip Trader;19:04:36;21/02/2022;#83850148
DEB;ANEMUSWIND;ANEM11;5;1130,55490600;5652,77;7,0000;Cetip Trader;19:04:35;21/02/2022;#83850125
CRA;VIRGOSEC;CRA020001E5;5;1149,30271300;5746,51;,0000;Cetip Trader;19:04:35;21/02/2022;#83850124
DEB;COPELGERACAO;CPGT27;1;1022,81940900;1022,82;6,0001;Cetip Trader;19:04:35;21/02/2022;#83850123
CRI;FORTESEC;21F0950048;3;1088,69048900;3266,07;,0000;Cetip Trader;19:04:35;21/02/2022;#83850121
CRI;RBSECURITIZACAO;12J0037879;8;1029,69811300;8237,58;,0000;Cetip Trader;19:04:35;21/02/2022;#83850120
CRI;BARISEC;20G0703083;1;1084,48412000;1084,48;,0000;Cetip Trader;19:04:35;21/02/2022;#83850119
DEB;FURNAS;FURN21;4;1104,66949800;4418,68;5,2000;Cetip Trader;19:04:35;21/02/2022;#83850118
DEB;COPELGERACAO;CPGT27;2;1022,81940900;2045,64;6,0001;Cetip Trader;19:04:35;21/02/2022;#83850137
CRA;VIRGOSEC;CRA020001E5;1;1149,30271300;1149,30;,0000;Cetip Trader;19:04:35;21/02/2022;#83850136
DEB;AGROVALE;AGVF12;2;1079,34752900;2158,70;6,0000;Cetip Trader;19:04:35;21/02/2022;#83850135
CRA;VIRGOSEC;CRA020001E5;50;1149,30271300;57465,14;,0000;Cetip Trader;19:04:35;21/02/2022;#83850134
DEB;COPELGERACAO;CPGT27;2;1022,81940900;2045,64;6,0001;Cetip Trader;19:04:35;21/02/2022;#83850133
CRI;BARISEC;20G0703083;1;1084,48412100;1084,48;,0000;Cetip Trader;19:04:35;21/02/2022;#83850132
DEB;COPELGERACAO;CPGT27;1;1022,81940900;1022,82;6,0001;Cetip Trader;19:04:35;21/02/2022;#83850131
CRA;VIRGOSEC;CRA020001E5;7;1149,30271300;8045,12;,0000;Cetip Trader;19:04:35;21/02/2022;#83850127
CRA;VIRGOSEC;CRA020001E5;2;1149,30271300;2298,61;,0000;Cetip Trader;19:04:35;21/02/2022;#83850122
CRI;BARISEC;20G0703083;1;1084,48412000;1084,48;,0000;Cetip Trader;19:04:35;21/02/2022;#83850130
CRI;RBSECURITIZACAO;12J0037879;2;1030,26667600;2060,53;,0000;Cetip Trader;19:04:35;21/02/2022;#83850129
CRI;HABITASECSA;19L0906443;1;917,87355100;917,87;,0000;Cetip Trader;19:04:35;21/02/2022;#83850128
DEB;ARTERIS;ARTR35;3;1290,31072300;3870,93;5,0000;Cetip Trader;19:04:35;21/02/2022;#83850126
CRA;VIRGOSEC;CRA020001E5;1;1149,30271300;1149,30;,0000;Cetip Trader;19:04:34;21/02/2022;#83850117
DEB;CEMIGSA;CMGD27;5;1163,27418900;5816,37;4,8000;Cetip Trader;19:04:34;21/02/2022;#83850116
DEB;RODOVIAMG;CRMG15;19;1036,20019600;19687,80;6,9999;Cetip Trader;19:04:34;21/02/2022;#83850115
CRA;VIRGOSEC;CRA020001E5;3;1149,30271300;3447,91;,0000;Cetip Trader;19:04:34;21/02/2022;#83850114
CRA;VIRGOSEC;CRA020001E5;10;1149,30271300;11493,03;,0000;Cetip Trader;19:04:34;21/02/2022;#83850113
CRA;VIRGOSEC;CRA020001E5;1;1149,30271300;1149,30;,0000;Cetip Trader;19:04:34;21/02/2022;#83850106
CRA;VIRGOSEC;CRA020001E5;4;1149,30271300;4597,21;,0000;Cetip Trader;19:04:34;21/02/2022;#83850111
DEB;SIMPAR;JSMLB5;10;1104,10649600;11041,06;7,4999;Cetip Trader;19:04:34;21/02/2022;#83850110
DEB;COPELGERACAO;CPGT27;1;1022,55643900;1022,56;6,0042;Cetip Trader;19:04:34;21/02/2022;#83850109
CRA;VIRGOSEC;CRA020001E5;18;1149,30271300;20687,45;,0000;Cetip Trader;19:04:34;21/02/2022;#83850108
DEB;COPELGERACAO;CPGT27;10;1022,55643900;10225,56;6,0042;Cetip Trader;19:04:34;21/02/2022;#83850107
