Data/Hora da ultima atualizacao: 23/02/2022 20:27:10
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
DEB;SIMPAR;JSMLA5;500;1019,60196700;509800,98;3,3800;Cetip Trader;18:56:49;23/02/2022;#83958899
DEB;ENGIEENERGIA;EGIE29;16;1066,94463600;17071,11;6,2690;Cetip Trader;18:53:44;23/02/2022;#83958897
CRI;RBSECURITIZACAO;19G0000001;198;984,40285200;194911,76;,0000;Cetip Trader;18:53:44;23/02/2022;#83958898
DEB;RUMO;RUMOA5;11;923,37393000;10157,11;6,5531;Cetip Trader;18:53:43;23/02/2022;#83958895
DEB;ENGIEENERGIA;EGIE19;35;1167,15692100;40850,49;4,7121;Cetip Trader;18:53:43;23/02/2022;#83958892
DEB;CIAENERGETICARN;CSRN17;8;1293,98734000;10351,90;4,0131;Cetip Trader;18:53:43;23/02/2022;#83958893
DEB;ENGIEENERGIA;EGIE17;42;1293,69775200;54335,31;4,7381;Cetip Trader;18:53:43;23/02/2022;#83958890
CRA;RBSECURITIZACAO;CRA019000GS;1;1028,19129100;1028,19;,0000;Cetip Trader;18:53:43;23/02/2022;#83958891
DEB;CONCECOVIAS;ECOV22;18;1710,64476600;30791,61;6,0899;Cetip Trader;18:53:43;23/02/2022;#83958888
DEB;ALGARTELE;ALGA26;62;1373,21787900;85139,51;6,3251;Cetip Trader;18:53:43;23/02/2022;#83958889
DEB;CIAENERGETICARN;CSRN17;24;1294,10657700;31058,56;3,9981;Cetip Trader;18:53:43;23/02/2022;#83958886
CRI;VIRGOSEC;21K0001812;4;1008,04223800;4032,17;,0000;Cetip Trader;18:53:43;23/02/2022;#83958887
DEB;COELCE;CEAR26;35;1309,37614500;45828,17;4,4190;Cetip Trader;18:53:43;23/02/2022;#83958884
CRA;ECOAGROSEC;CRA017000B5;100;1035,48534800;103548,53;,0000;Cetip Trader;18:53:43;23/02/2022;#83958885
CRI;VIRGOSEC;21K0001812;2;1008,73132900;2017,46;,0000;Cetip Trader;18:53:43;23/02/2022;#83958882
DEB;PETROBRAS;PETR27;105;954,14348400;100185,07;6,3970;Cetip Trader;18:53:43;23/02/2022;#83958883
DEB;CIAPAULISTA;CTEE17;60;1277,58309300;76654,99;4,3662;Cetip Trader;18:53:43;23/02/2022;#83958880
DEB;CIAENERGETICARN;CSRN17;2;1294,10657700;2588,21;3,9981;Cetip Trader;18:53:43;23/02/2022;#83958881
DEB;PETROBRAS;PETR27;8;952,44751200;7619,58;6,4170;Cetip Trader;18:53:43;23/02/2022;#83958878
DEB;CONCECOVIAS;ECOV22;15;1734,41360800;26016,20;4,7309;Cetip Trader;18:53:43;23/02/2022;#83958879
DEB;CIAENERGETICARN;CSRN17;46;1294,06682900;59527,07;4,0032;Cetip Trader;18:53:43;23/02/2022;#83958876
DEB;CIAPAULISTA;CTEE15;40;1302,47198400;52098,88;4,2122;Cetip Trader;18:53:43;23/02/2022;#83958877
DEB;CONCECOVIAS;ECOV22;18;1734,76958800;31225,85;4,7110;Cetip Trader;18:53:43;23/02/2022;#83958894
DEB;CONCECOVIAS;ECOV22;58;1734,23568700;100585,67;4,7410;Cetip Trader;18:53:43;23/02/2022;#83958875
DEB;CIAENERGETICARN;CSRN17;19;1294,34513500;24592,56;3,9681;Cetip Trader;18:53:43;23/02/2022;#83958896
DEB;CIAPAULISTA;CTEE15;2;1302,47198400;2604,94;4,2122;Cetip Trader;18:53:42;23/02/2022;#83958874
DEB;CONCECOVIAS;ECOV22;32;1734,23568700;55495,54;4,7410;Cetip Trader;18:53:42;23/02/2022;#83958872
DEB;ENGIEENERGIA;EGIE19;46;1167,03696800;53683,70;4,7150;Cetip Trader;18:53:42;23/02/2022;#83958873
CRI;VIRGOSEC;21K0001812;1;1007,69792300;1007,70;,0000;Cetip Trader;18:53:42;23/02/2022;#83958870
DEB;CIAENERGETICARN;CSRN17;64;1294,02708300;82817,73;4,0080;Cetip Trader;18:53:42;23/02/2022;#83958871
DEB;COMGAS;GASP24;2;720,34234300;1440,68;3,9701;Cetip Trader;18:53:42;23/02/2022;#83958868
DEB;ENGIEENERGIA;EGIE17;38;1292,84952600;49128,28;4,7640;Cetip Trader;18:53:42;23/02/2022;#83958869
DEB;CONCECOVIAS;ECOV22;29;1735,19700400;50320,71;4,6870;Cetip Trader;18:53:42;23/02/2022;#83958866
DEB;CONCECOVIAS;ECOV22;1;1735,01888200;1735,02;4,6969;Cetip Trader;18:53:42;23/02/2022;#83958864
CRI;VIRGOSEC;21K0001812;4;1007,69792300;4030,79;,0000;Cetip Trader;18:53:42;23/02/2022;#83958865
DEB;ENGIEENERGIA;EGIE19;4;1166,75714300;4667,03;4,7221;Cetip Trader;18:53:42;23/02/2022;#83958862
DEB;CIAENERGETICARN;CSRN17;154;1294,06682900;199286,29;4,0032;Cetip Trader;18:53:42;23/02/2022;#83958863
DEB;CONCECOVIAS;ECOV22;69;1735,35735300;119739,66;4,6781;Cetip Trader;18:53:42;23/02/2022;#83958860
DEB;CIAPAULISTA;CTEE15;76;1302,23333900;98969,73;4,2220;Cetip Trader;18:53:42;23/02/2022;#83958858
DEB;COELCE;CEAR26;34;1308,24419800;44480,30;4,4540;Cetip Trader;18:53:42;23/02/2022;#83958859
