Data/Hora da ultima atualizacao: 07/03/2022 20:29:10
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
CRI;FORTESEC;21I0183215;45;1097,82440400;49402,10;,0000;Cetip Trader;18:52:38;07/03/2022;#84299228
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:38;07/03/2022;#84299225
CRI;FORTESEC;21I0183215;2902;1077,18906100;3126002,66;,0000;Cetip Trader;18:52:38;07/03/2022;#84299229
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:38;07/03/2022;#84299227
CRA;VIRGOSEC;CRA020001E5;131;1144,93340500;149986,28;,0000;Cetip Trader;18:52:38;07/03/2022;#84299226
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:37;07/03/2022;#84299224
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:37;07/03/2022;#84299222
CRA;VIRGOSEC;CRA020001E5;10;1153,59387600;11535,94;,0000;Cetip Trader;18:52:37;07/03/2022;#84299220
CRI;FORTESEC;21I0183215;1603;1077,18906100;1726734,06;,0000;Cetip Trader;18:52:37;07/03/2022;#84299219
CRA;VIRGOSEC;CRA020001E5;40;1153,59387600;46143,76;,0000;Cetip Trader;18:52:37;07/03/2022;#84299221
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:37;07/03/2022;#84299223
CRI;FORTESEC;21I0183215;1299;1077,18906100;1399268,59;,0000;Cetip Trader;18:52:36;07/03/2022;#84299217
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:36;07/03/2022;#84299215
CRA;VIRGOSEC;CRA020001E5;1;1153,59387600;1153,59;,0000;Cetip Trader;18:52:36;07/03/2022;#84299213
CRA;VIRGOSEC;CRA020001E5;30;1153,59387600;34607,82;,0000;Cetip Trader;18:52:36;07/03/2022;#84299216
CRA;VIRGOSEC;CRA020001E5;44;1153,59387600;50758,13;,0000;Cetip Trader;18:52:36;07/03/2022;#84299218
CRA;VIRGOSEC;CRA020001E5;9;1136,37272700;10227,35;,0000;Cetip Trader;18:52:36;07/03/2022;#84299214
CRA;VIRGOSEC;CRA020003K6;5;1011,43636100;5057,18;,0000;Cetip Trader;18:52:35;07/03/2022;#84299210
