Data/Hora da ultima atualizacao: 04/03/2022 20:29:08
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
DEB;VALE;CVRDA6;44;51,65000000;2272,60;,0000;Cetip Trader;19:04:26;04/03/2022;#84226365
DEB;VALE;CVRDA6;230;51,65000000;11879,50;,0000;Cetip Trader;19:04:26;04/03/2022;#84226364
DEB;VALE;CVRDA6;3152;51,65000000;162800,80;,0000;Cetip Trader;19:04:26;04/03/2022;#84226363
DEB;VALE;CVRDA6;200;56,28000000;11256,00;,0000;Cetip Trader;19:04:25;04/03/2022;#84226360
DEB;VALE;CVRDA6;69;56,28000000;3883,32;,0000;Cetip Trader;19:04:25;04/03/2022;#84226358
DEB;VALE;CVRDA6;2218;56,00000000;124208,00;,0000;Cetip Trader;19:04:25;04/03/2022;#84226361
DEB;VALE;CVRDA6;54;56,28000000;3039,12;,0000;Cetip Trader;19:04:25;04/03/2022;#84226359
DEB;VALE;CVRDA6;2218;54,00000000;119772,00;,0000;Cetip Trader;19:04:25;04/03/2022;#84226362
DEB;VALE;CVRDA6;47;56,28000000;2645,16;,0000;Cetip Trader;19:04:24;04/03/2022;#84226354
DEB;VALE;CVRDA6;725;56,28000000;40803,00;,0000;Cetip Trader;19:04:24;04/03/2022;#84226356
DEB;VALE;CVRDA6;725;56,28000000;40803,00;,0000;Cetip Trader;19:04:24;04/03/2022;#84226355
DEB;VALE;CVRDA6;3000;56,28000000;168840,00;,0000;Cetip Trader;19:04:24;04/03/2022;#84226357
DEB;VALE;CVRDA6;180;56,28000000;10130,40;,0000;Cetip Trader;19:04:24;04/03/2022;#84226353
DEB;VALE;CVRDA6;450;56,28000000;25326,00;,0000;Cetip Trader;19:04:24;04/03/2022;#84226352
DEB;VALE;CVRDA6;277;56,28000000;15589,56;,0000;Cetip Trader;19:04:23;04/03/2022;#84226348
DEB;VALE;CVRDA6;267;56,28000000;15026,76;,0000;Cetip Trader;19:04:23;04/03/2022;#84226347
DEB;VALE;CVRDA6;91;56,28000000;5121,48;,0000;Cetip Trader;19:04:23;04/03/2022;#84226349
