Data/Hora da ultima atualizacao: 22/02/2022 20:29:10
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
COE;;PB0122B4G8R;4;1000,00000000;4000,00;;NoMe;19:19:01;22/02/2022;#2022022216711400
CRA;TRUESEC;CRA0200020B;65;1109,28968700;72103,83;,0000;Cetip Trader;18:55:57;22/02/2022;#83904972
CRI;VIRGOSEC;21C0601989;92;1042,64848500;95923,66;,0000;Cetip Trader;18:55:57;22/02/2022;#83904973
DEB;ANEMUSWIND;ANEM11;8;1132,27634600;9058,21;7,0000;Cetip Trader;18:55:57;22/02/2022;#83904974
DEB;ANEMUSWIND;ANEM11;26;1132,27634600;29439,18;7,0000;Cetip Trader;18:55:57;22/02/2022;#83904975
DEB;ANEMUSWIND;ANEM11;5;1132,27634600;5661,38;7,0000;Cetip Trader;18:55:56;22/02/2022;#83904970
DEB;ANEMUSWIND;ANEM11;8;1132,27634600;9058,21;7,0000;Cetip Trader;18:55:56;22/02/2022;#83904971
CRI;RBSECURITIZACAO;18C0682649;51;1028,66330800;52461,83;,0000;Cetip Trader;18:55:56;22/02/2022;#83904964
CRA;RBSECURITIZACAO;CRA017008SR;2;1000,27741800;2000,55;,0000;Cetip Trader;18:55:56;22/02/2022;#83904965
DEB;ANEMUSWIND;ANEM11;17;1132,27634600;19248,70;7,0000;Cetip Trader;18:55:56;22/02/2022;#83904966
CRI;RBSECURITIZACAO;17I0000201;52;1013,86726800;52721,10;,0000;Cetip Trader;18:55:56;22/02/2022;#83904967
CRA;VIRGOSEC;CRA021002SU;24;1052,54721400;25261,13;,0000;Cetip Trader;18:55:56;22/02/2022;#83904968
DEB;ANEMUSWIND;ANEM11;106;1131,41531000;119930,02;7,0000;Cetip Trader;18:55:56;22/02/2022;#83904969
DEB;ANEMUSWIND;ANEM11;18;1132,27634600;20380,97;7,0000;Cetip Trader;18:55:55;22/02/2022;#83904961
DEB;ANEMUSWIND;ANEM11;19;1132,27634600;21513,25;7,0000;Cetip Trader;18:55:55;22/02/2022;#83904962
DEB;ANEMUSWIND;ANEM11;5;1132,27634600;5661,38;7,0000;Cetip Trader;18:55:55;22/02/2022;#83904963
DEB;ANEMUSWIND;ANEM11;23;1132,27634600;26042,36;7,0000;Cetip Trader;18:55:54;22/02/2022;#83904958
DEB;ANEMUSWIND;ANEM11;4;1132,27634600;4529,11;7,0000;Cetip Trader;18:55:54;22/02/2022;#83904959
DEB;ANEMUSWIND;ANEM11;7;1132,27634600;7925,93;7,0000;Cetip Trader;18:55:54;22/02/2022;#83904960
DEB;ANEMUSWIND;ANEM11;38;1132,27634600;43026,50;7,0000;Cetip Trader;18:55:53;22/02/2022;#83904955
DEB;ANEMUSWIND;ANEM11;61;1132,27634600;69068,86;7,0000;Cetip Trader;18:55:53;22/02/2022;#83904956
DEB;ANEMUSWIND;ANEM11;9;1132,27634600;10190,49;7,0000;Cetip Trader;18:55:53;22/02/2022;#83904957
DEB;ANEMUSWIND;ANEM11;4;1132,27634600;4529,11;7,0000;Cetip Trader;18:55:52;22/02/2022;#83904951
DEB;ANEMUSWIND;ANEM11;4;1132,27634600;4529,11;7,0000;Cetip Trader;18:55:52;22/02/2022;#83904952
DEB;ANEMUSWIND;ANEM11;44;1132,27634600;49820,16;7,0000;Cetip Trader;18:55:52;22/02/2022;#83904953
DEB;ANEMUSWIND;ANEM11;44;1132,27634600;49820,16;7,0000;Cetip Trader;18:55:52;22/02/2022;#83904954
DEB;ANEMUSWIND;ANEM11;2;1132,27634600;2264,55;7,0000;Cetip Trader;18:55:51;22/02/2022;#83904947
DEB;ANEMUSWIND;ANEM11;2;1132,27634600;2264,55;7,0000;Cetip Trader;18:55:51;22/02/2022;#83904948
DEB;ANEMUSWIND;ANEM11;7;1132,27634600;7925,93;7,0000;Cetip Trader;18:55:51;22/02/2022;#83904949
DEB;ANEMUSWIND;ANEM11;11;1132,27634600;12455,04;7,0000;Cetip Trader;18:55:51;22/02/2022;#83904950
DEB;ANEMUSWIND;ANEM11;1;1132,27634600;1132,28;7,0000;Cetip Trader;18:55:50;22/02/2022;#83904944
