Data/Hora da ultima atualizacao: 02/03/2022 20:29:13
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio
CRA;VIRGOSEC;CRA021002NF;196;1016,81028200;199294,82;,0000;Cetip Trader;18:57:16;02/03/2022;#84068458
DEB;AGROVALE;AGVF12;377;1059,88138100;399575,28;6,6001;Cetip Trader;18:57:16;02/03/2022;#84068459
CRI;TRUESEC;21D0737500;193;1033,19174500;199406,01;,0000;Cetip Trader;18:57:16;02/03/2022;#84068462
CRI;TRUESEC;21H1078700;499;1001,57032600;499783,59;,0000;Cetip Trader;18:57:16;02/03/2022;#84068463
DEB;RGESUL;AESL17;80;1237,52097300;99001,68;5,4001;Cetip Trader;18:57:16;02/03/2022;#84068460
CRA;VIRGOSEC;CRA021002NF;147;1016,81028200;149471,11;,0000;Cetip Trader;18:57:16;02/03/2022;#84068461
DEB;RGESUL;AESL17;80;1231,09773200;98487,82;5,6001;Cetip Trader;18:57:16;02/03/2022;#84068466
CRA;VIRGOSEC;CRA021002NF;147;1016,81028200;149471,11;,0000;Cetip Trader;18:57:16;02/03/2022;#84068467
CRI;RBSECURITIZACAO;21D0862572;707;987,67831600;698288,57;,0000;Cetip Trader;18:57:16;02/03/2022;#84068464
DEB;AGROVALE;AGVF12;235;1059,88138100;249072,12;6,6001;Cetip Trader;18:57:16;02/03/2022;#84068465
CRI;TRUESEC;21H1078699;220;1027,29466200;226004,83;,0000;Cetip Trader;18:57:16;02/03/2022;#84068470
DEB;AGROVALE;AGVF12;23;1057,94270600;24332,68;6,6500;Cetip Trader;18:57:16;02/03/2022;#84068468
CRA;VIRGOSEC;CRA021002NF;132;1016,81028200;134218,96;,0000;Cetip Trader;18:57:16;02/03/2022;#84068469
CRA;ECOAGROSEC;CRA017002BD;1050;1028,09000000;1079494,50;,0000;Cetip Trader;18:57:15;02/03/2022;#84068447
CRA;VIRGOSEC;CRA021002NF;297;1016,81028200;301992,65;,0000;Cetip Trader;18:57:15;02/03/2022;#84068446
CRA;ECOAGROSEC;CRA017002BD;145;1027,81000000;149032,45;,0000;Cetip Trader;18:57:15;02/03/2022;#84068444
DEB;AUTOPISTAREGIS;APRB18;6909;1141,18023600;7884414,25;6,2500;Cetip Trader;18:57:15;02/03/2022;#84068445
DEB;COLOMBOAGRO;CLAG13;190;1047,87003100;199095,31;5,9199;Cetip Trader;18:57:15;02/03/2022;#84068450
DEB;AUTOPISTAREGIS;APRB18;1853;1141,18023600;2114606,98;6,2500;Cetip Trader;18:57:15;02/03/2022;#84068451
DEB;AUTOPISTAREGIS;APRB18;43;1139,65987200;49005,37;6,2733;Cetip Trader;18:57:15;02/03/2022;#84068448
CRA;VIRGOSEC;CRA021002NF;29;1016,81028200;29487,50;,0000;Cetip Trader;18:57:15;02/03/2022;#84068449
CRA;VIRGOSEC;CRA021002NF;196;1016,81028200;199294,82;,0000;Cetip Trader;18:57:15;02/03/2022;#84068454
DEB;ALGARTELE;ALGAB1;499;1001,77089200;499883,68;5,9900;Cetip Trader;18:57:15;02/03/2022;#84068455
CRA;VIRGOSEC;CRA021002NF;24;1016,81028200;24403,45;,0000;Cetip Trader;18:57:15;02/03/2022;#84068452
DEB;AUTOPISTAREGIS;APRB18;118;1141,83380800;134736,39;6,2400;Cetip Trader;18:57:15;02/03/2022;#84068453
CRA;VIRGOSEC;CRA021002NF;196;1016,81028200;199294,82;,0000;Cetip Trader;18:57:15;02/03/2022;#84068456
DEB;AGROVALE;AGVF12;94;1059,88138100;99628,85;6,6001;Cetip Trader;18:57:15;02/03/2022;#84068457
CRA;VIRGOSEC;CRA021002NF;98;1016,81028200;99647,41;,0000;Cetip Trader;18:57:14;02/03/2022;#84068424
CRA;VIRGOII;CRA018002XL;2293;1006,81000000;2308615,33;,0000;Cetip Trader;18:57:14;02/03/2022;#84068423
DEB;COPELSA;CPLD26;150;998,18258500;149727,39;6,0200;Cetip Trader;18:57:14;02/03/2022;#84068427
DEB;ENERGISAMS;ESULA6;144;1040,08353900;149772,03;6,3000;Cetip Trader;18:57:14;02/03/2022;#84068426
DEB;ETCCAPIXABA;CPXB22;279;1267,74488700;353700,82;5,8000;Cetip Trader;18:57:14;02/03/2022;#84068425
DEB;ENERGISAMS;ESULA6;144;1040,08353900;149772,03;6,3000;Cetip Trader;18:57:14;02/03/2022;#84068430
DEB;COPELGERACAO;CPGT27;589;1016,98859500;599006,28;6,1500;Cetip Trader;18:57:14;02/03/2022;#84068431
CRA;VIRGOSEC;CRA021002NF;98;1016,81028200;99647,41;,0000;Cetip Trader;18:57:14;02/03/2022;#84068428
DEB;ETCCAPIXABA;CPXB22;12;1266,10659200;15193,28;5,8500;Cetip Trader;18:57:14;02/03/2022;#84068429
DEB;ENERGISAMS;ESULA6;129;1040,08353900;134170,78;6,3000;Cetip Trader;18:57:14;02/03/2022;#84068434
CRA;VIRGOSEC;CRA021002NF;49;1016,81028200;49823,70;,0000;Cetip Trader;18:57:14;02/03/2022;#84068435
CRA;VIRGOSEC;CRA021002NF;491;1016,81028200;499253,85;,0000;Cetip Trader;18:57:14;02/03/2022;#84068432
DEB;COELBA;CEEBA1;24;1230,93651600;29542,48;5,9000;Cetip Trader;18:57:14;02/03/2022;#84068433
DEB;CCR;CCROB4;373;1069,87718400;399064,19;5,7000;Cetip Trader;18:57:14;02/03/2022;#84068438
CRA;VIRGOSEC;CRA021002NF;393;1016,81028200;399606,44;,0000;Cetip Trader;18:57:14;02/03/2022;#84068439
DEB;COELBA;CEEBA1;1084;1224,30460300;1327146,19;6,1500;Cetip Trader;18:57:14;02/03/2022;#84068436
CRA;ECOAGROSEC;CRA017002BD;905;1028,65000000;930928,25;,0000;Cetip Trader;18:57:14;02/03/2022;#84068437
DEB;AUTOPISTAREGIS;APRB18;87;1141,83380800;99339,54;6,2400;Cetip Trader;18:57:14;02/03/2022;#84068442
CRA;VIRGOSEC;CRA021002NF;393;1016,81028200;399606,44;,0000;Cetip Trader;18:57:14;02/03/2022;#84068443
DEB;COELBA;CEEBA1;1060;1232,26972300;1306205,91;5,8500;Cetip Trader;18:57:14;02/03/2022;#84068440
CRA;ECOAGROSEC;CRA017002BD;145;1028,51000000;149133,95;,0000;Cetip Trader;18:57:14;02/03/2022;#84068441
DEB;ENERGISAMS;ESULA6;204;1040,08353900;212177,04;6,3000;Cetip Trader;18:57:13;02/03/2022;#84068403
DEB;ENERGISAMS;ESULA6;192;1040,08353900;199696,04;6,3000;Cetip Trader;18:57:13;02/03/2022;#84068406
DEB;ENERGISAMT;ENMTA4;287;1043,35773800;299443,67;6,2501;Cetip Trader;18:57:13;02/03/2022;#84068407
DEB;ENERGISAMS;ESULA6;20;1040,08353900;20801,67;6,3000;Cetip Trader;18:57:13;02/03/2022;#84068404
DEB;ENERGISAMS;ESULA6;192;1040,08353900;199696,04;6,3000;Cetip Trader;18:57:13;02/03/2022;#84068405
CRA;VERTSEC;CRA019001E7;252;1184,57710400;298513,43;,0000;Cetip Trader;18:57:13;02/03/2022;#84068410
